,season,episode,title,name,quote
0,1,4,Jack the Writer,Liz,"All right, we have a lot to get through today, you guys. Anybody have anything on page one?"
1,1,4,Jack the Writer,Liz,"I think we need to change this Donald Trump joke... because Donald Trump was eaten by a lion this morning, on the International Space Station."
2,1,4,Jack the Writer,Liz,"Anyone listening? Yeah, okay."
3,1,4,Jack the Writer,Liz,"Cerie, how about, instead of doing the scripts, why don't you just organize those videotapes?"
4,1,4,Jack the Writer,Cerie,"Oh, okay."
5,1,4,Jack the Writer,Liz,"Okay, actually, could you go downstairs and get me a chai tea?"
6,1,4,Jack the Writer,Cerie,"Okay, um... where are my shoes?"
7,1,4,Jack the Writer,Liz,"No, no, just go. Just go barefoot. Just leave your shoes. Okay."
8,1,4,Jack the Writer,Frank,We got to change this Trump joke.
9,1,4,Jack the Writer,PA,"Josh to the set, please, for ""Sniper""..."
10,1,4,Jack the Writer,Kenneth,Mr. Jordan?
11,1,4,Jack the Writer,Tracy,"What's up, Ken?"
12,1,4,Jack the Writer,Kenneth,"I got your car washed like you asked, and I got that ""Baby On Board"" sign you wanted, to help you get tail."
13,1,4,Jack the Writer,Tracy,"Thanks, Ken. You done good."
14,1,4,Jack the Writer,Kenneth,"It's my pleasure and my job, sir. Anything you ever need, just ask."
15,1,4,Jack the Writer,Tracy,But I want you to know something.
16,1,4,Jack the Writer,Tracy,You and me... It's not gonna be a one-way street.
17,1,4,Jack the Writer,Tracy,'Cause I don't believe in one-way streets... not between people and not while I'm driving.
18,1,4,Jack the Writer,Kenneth,"Oh, okay."
19,1,4,Jack the Writer,Tracy,"So here's some advice I wish I would have got, when I was your age."
20,1,4,Jack the Writer,Tracy,"Live every week like it's ""Shark Week."""
21,1,4,Jack the Writer,Liz,"That's Stan there. Happy birthday, Stan."
22,1,4,Jack the Writer,Liz,"All right, we're halfway done. Let's take a little break. You guys want to have a one-minute dance party?"
23,1,4,Jack the Writer,Frank,Yeah!
24,1,4,Jack the Writer,Lutz,Good idea.
25,1,4,Jack the Writer,Frank,"Crank it, Toofer."
